id,alder,gender,GSE_mean,NPI_mean,obj_mean,subj_mean,diff_mean,tal_raw,tal_skala,tal_indeks,tal_perc,tal_selv_perc,tal_selv_indeks,tal_diff,regn_raw,regn_skala,regn_indeks,regn_perc,regn_selv_perc,regn_selv_indeks,regn_diff,kod_raw,kod_skala,kod_indeks,kod_perc,kod_selv_perc,kod_selv_indeks,symbol_diff,symbol_raw,symbol_skala,symbol_indeks,symbol_perc,symbol_selv_perc,symbol_selv_indeks,symbol_diff
Emu,22,mand,3.00,0.438,112.5,96,-16.37,25,9,95,37%,50%,100,5,18,13,115,84%,30%,92,-23,82,13,115,84%,40%,96,-19,46,15,125,95%,40%,96,-29
Zebra,43,mand,3.10,0.313,97.5,102,4.47,18,6,80,9%,60%,104,24,19,14,120,91%,40%,96,-24,60,9,95,37%,50%,100,5,30,9,95,37%,70%,108,13
Pingvin,26,mand,3.40,0.563,110,107,-3.15,26,11,105,63%,70%,108,3,17,12,110,75%,70%,108,-2,81,13,115,84%,60%,104,-11,38,12,110,75%,70%,108,-2
Desmedyr,31,mand,3.00,0.188,100,105,5.12,23,9,95,37%,70%,108,13,12,8,90,25%,80%,113,23,88,14,120,91%,50%,100,-20,32,9,95,37%,50%,100,5
Klumpfisk,28,mand,3.00,0.188,95,105,9.88,24,10,100,50%,50%,100,0,13,9,95,37%,60%,104,9,54,8,90,25%,70%,108,18,31,9,95,37%,70%,108,13
Bæver,23,kvinde,2.70,0.313,103.75,104,0.18,23,8,90,25%,80%,113,23,12,9,95,37%,20%,87,-8,83,13,115,84%,70%,108,-7,40,13,115,84%,70%,108,-7
Bjørn,23,mand,3.10,0.313,91.25,103,11.67,23,8,90,25%,40%,96,6,13,9,95,37%,60%,104,9,70,10,100,50%,70%,108,8,22,6,80,9%,60%,104,24
Abe,24,mand,3.20,0.250,106.25,103,-3.33,21,7,85,16%,60%,104,19,19,14,120,91%,40%,96,-24,84,13,115,84%,70%,108,-7,37,11,105,63%,60%,104,-1
And,24,mand,2.40,0.188,96.25,104,7.62,24,9,95,37%,60%,104,9,14,10,100,50%,70%,108,8,61,9,95,37%,50%,100,5,32,9,95,37%,60%,104,9
Bi,23,kvinde,2.90,0.313,96.25,92,-3.97,22,8,90,25%,10%,81,-9,13,9,95,37%,30%,92,-3,85,14,120,91%,50%,100,-20,21,6,80,9%,40%,96,16
Due,22,kvinde,2.40,0.313,111.25,98,-13.28,26,10,100,50%,60%,104,4,19,14,120,91%,30%,92,-28,88,14,120,91%,60%,104,-16,36,11,105,63%,30%,92,-13
Tun,24,mand,3.40,0.438,100,110,9.93,21,7,85,16%,70%,108,23,15,11,105,63%,50%,100,-5,75,11,105,63%,80%,113,8,35,11,105,63%,90%,119,14
Sild,33,kvinde,3.50,0.250,97.5,123,25.16,25,10,100,50%,80%,113,13,14,10,100,50%,90%,119,19,61,9,95,37%,98%,129,34,32,9,95,37%,98%,129,34
Ugle,21,kvinde,2.90,0.438,102.5,99,-3.76,27,10,100,50%,60%,104,4,11,8,90,25%,20%,87,-3,77,12,110,75%,60%,104,-6,38,12,110,75%,50%,100,-10
Løve,28,mand,2.70,0.125,97.5,102,4.71,14,4,70,2%,40%,96,26,11,8,90,25%,40%,96,6,76,11,105,63%,80%,113,8,47,15,125,95%,60%,104,-21
Bæltedyr,24,kvinde,3.40,0.250,95,102,6.90,21,7,85,16%,60%,104,19,9,6,80,9%,50%,100,20,81,13,115,84%,60%,104,-11,34,10,100,50%,50%,100,0
Dovendyr,22,mand,3.00,0.438,93.75,98,4.28,23,8,90,25%,50%,100,10,11,8,90,25%,30%,92,2,79,12,110,75%,60%,104,-6,26,7,85,16%,40%,96,11
Puma,22,kvinde,2.90,0.063,97.5,102,4.47,22,8,90,25%,50%,100,10,11,8,90,25%,40%,96,6,79,12,110,75%,60%,104,-6,33,10,100,50%,70%,108,8
Ål,19,kvinde,3.90,0.063,100,107,6.95,22,8,90,25%,60%,104,14,15,11,105,63%,30%,92,-13,67,10,100,50%,90%,119,19,35,11,105,63%,80%,113,8
Basilisk,22,kvinde,2.50,0.125,100,95,-5.12,20,7,85,16%,30%,92,7,9,6,80,9%,20%,87,7,90,14,120,91%,50%,100,-20,41,13,115,84%,50%,100,-15
Tiger,25,kvinde,2.80,0.688,92.5,102,9.47,18,6,80,9%,60%,104,24,14,10,100,50%,40%,96,-4,60,9,95,37%,50%,100,5,31,9,95,37%,70%,108,13
Sejfisk,22,kvinde,2.70,0.000,102.5,100,-2.50,26,8,90,25%,50%,100,10,10,7,85,16%,40%,96,11,88,14,120,91%,60%,104,-16,42,13,115,84%,50%,100,-15
Skildpadde,21,kvinde,2.70,0.063,83.75,99,15.30,18,6,80,9%,40%,96,16,9,6,80,9%,40%,96,16,66,10,100,50%,50%,100,0,20,5,75,5%,60%,104,29
Blåhval,23,kvinde,2.20,0.063,102.5,94,-8.51,25,9,95,37%,40%,96,1,9,6,80,9%,20%,87,7,86,14,120,91%,40%,96,-24,40,13,115,84%,40%,96,-19
Delfin,19,mand,2.40,0.125,128.75,110,-19.06,35,15,125,95%,70%,108,-17,18,13,115,84%,60%,104,-11,133,19,145,100%,90%,119,-26,49,16,130,98%,70%,108,-22
Hvalhaj,32,mand,2.80,0.000,85,102,16.90,20,7,85,16%,60%,104,19,10,7,85,16%,50%,100,15,48,7,85,16%,60%,104,19,25,7,85,16%,50%,100,15
Dromedar,22,kvinde,2.70,0.375,85,94,9.17,18,6,80,9%,30%,92,12,8,5,75,5%,30%,92,17,58,8,90,25%,40%,96,6,30,9,95,37%,40%,96,1
Havørn,22,kvinde,3.10,0.375,107.5,98,-9.39,23,8,90,25%,50%,100,10,14,10,100,50%,10%,81,-19,86,14,120,91%,70%,108,-12,43,14,120,91%,60%,104,-16
Dompap,27,mand,4.00,0.563,102.5,99,-3.20,21,8,90,25%,10%,81,-9,11,8,90,25%,50%,100,10,86,14,120,91%,80%,113,-7,38,12,110,75%,60%,104,-6
Aborre,25,mand,2.60,0.063,87.5,101,13.45,19,7,85,16%,60%,104,19,13,9,95,37%,50%,100,5,61,9,95,37%,50%,100,5,20,5,75,5%,50%,100,25
Torsk,34,mand,2.50,0.000,95,102,6.90,19,7,85,16%,50%,100,15,12,8,90,25%,50%,100,10,68,10,100,50%,60%,104,4,37,11,105,63%,60%,104,-1
Jordegern,33,kvinde,3.50,0.313,98.75,104,5.04,22,8,90,25%,60%,104,14,13,9,95,37%,30%,92,-3,78,12,110,75%,50%,100,-10,33,10,100,50%,90%,119,19
Dræbersnegl,24,mand,2.40,0.000,90,92,2.04,25,9,95,37%,20%,87,-8,12,9,95,37%,10%,81,-14,47,7,85,16%,50%,100,15,25,7,85,16%,50%,100,15
Hare,21,mand,2.90,0.310,88.75,104,15.36,25,9,95,37%,40%,96,1,15,11,105,63%,60%,104,-1,47,7,85,16%,80%,113,28,16,4,70,2%,60%,104,34
Kanin,25,kvinde,2.80,0.000,103.75,94,-10.15,28,12,110,75%,40%,96,-14,11,8,90,25%,3%,71,-19,86,14,120,91%,60%,104,-16,31,9,95,37%,60%,104,9
Flodhest,24,mand,3.10,0.310,110,105,-4.88,31,12,110,75%,70%,108,-2,21,16,130,98%,80%,113,-17,72,11,105,63%,50%,100,-5,32,9,95,37%,50%,100,5
Flamingo,22,mand,3.00,0.190,118.75,104,-14.64,31,12,110,75%,50%,100,-10,19,14,120,91%,80%,113,-7,97,16,130,98%,60%,104,-26,40,13,115,84%,50%,100,-15
Odder,23,mand,2.80,0.130,100,90,-10.27,19,6,80,9%,30%,92,12,10,7,85,16%,3%,71,-14,82,13,115,84%,40%,96,-19,43,14,120,91%,50%,100,-20
Klovnfisk,22,kvinde,3.40,0.190,106.25,98,-8.22,27,10,100,50%,30%,92,-8,18,13,115,84%,40%,96,-19,64,9,95,37%,60%,104,9,41,13,115,84%,50%,100,-15
Snegl,22,mand,3.60,0.190,92.5,96,3.64,20,7,85,16%,60%,104,19,11,8,90,25%,10%,81,-9,59,9,95,37%,40%,96,1,34,10,100,50%,60%,104,4
Kongeørn,22,kvinde,2.70,0.190,112.5,97,-15.66,27,10,100,50%,50%,100,0,14,10,100,50%,20%,87,-13,99,16,130,98%,70%,108,-22,44,14,120,91%,30%,92,-28
Kiwi,22,kvinde,2.20,0.060,101.25,97,-4.17,25,9,95,37%,50%,100,5,10,7,85,16%,40%,96,11,96,15,125,95%,50%,100,-25,34,10,100,50%,30%,92,-8
Kalkun,22,kvinde,3.40,0.560,107.5,106,-1.43,24,9,95,37%,60%,104,9,15,11,105,63%,50%,100,-5,78,12,110,75%,70%,108,-2,44,14,120,91%,80%,113,-7
Kakadue,23,kvinde,3.50,0.500,102.5,98,-4.47,25,9,95,37%,40%,96,1,14,10,100,50%,30%,92,-8,72,11,105,63%,50%,100,-5,39,12,110,75%,60%,104,-6
Kamel,22,kvinde,3.00,0.380,102.5,95,-7.62,24,9,95,37%,20%,87,-8,15,11,105,63%,30%,92,-13,93,15,125,95%,50%,100,-25,25,7,85,16%,50%,100,15
Bambi,25,mand,3.40,0.500,102.5,102,-0.36,24,10,100,50%,50%,100,0,14,10,100,50%,30%,92,-8,85,14,120,91%,80%,113,-7,28,8,90,25%,60%,104,14
Hjort,22,mand,2.70,0.310,111.25,106,-5.18,27,10,100,50%,80%,113,13,20,15,125,95%,70%,108,-17,83,13,115,84%,50%,100,-15,35,11,105,63%,60%,104,-1
Kolibri,22,kvinde,3.40,0.250,101.25,100,-1.32,27,10,100,50%,50%,100,0,11,8,90,25%,30%,92,2,89,14,120,91%,60%,104,-16,31,9,95,37%,60%,104,9
Hund,22,mand,3.10,0.310,97.5,100,2.50,31,12,110,75%,50%,100,-10,13,9,95,37%,40%,96,1,59,9,95,37%,50%,100,5,28,8,90,25%,60%,104,14
Kat,25,mand,3.20,0.250,115,114,-1.46,30,13,115,84%,70%,108,-7,15,11,105,63%,90%,119,14,85,14,120,91%,70%,108,-12,43,14,120,91%,90%,119,-1
Hest,24,kvinde,3.20,0.250,100,98,-1.97,21,7,85,16%,50%,100,15,12,9,95,37%,30%,92,-3,80,12,110,75%,40%,96,-14,39,12,110,75%,60%,104,-6
Gris,23,kvinde,3.10,0.000,98.75,102,3.22,21,7,85,16%,60%,104,19,11,8,90,25%,50%,100,10,94,15,125,95%,70%,108,-17,31,9,95,37%,40%,96,1
Ged,24,mand,2.90,0.180,95,101,5.95,21,7,85,16%,60%,104,19,16,12,110,75%,40%,96,-14,68,10,100,50%,50%,100,0,24,7,85,16%,60%,104,19
Ko,22,mand,2.90,0.130,120,109,-11.02,30,12,110,75%,80%,113,3,15,11,105,63%,40%,96,-9,101,16,130,98%,70%,108,-22,51,17,135,99%,90%,119,-16
Får,24,kvinde,2.80,0.250,115,98,-17.21,33,14,120,91%,40%,96,-24,12,9,95,37%,20%,87,-8,98,16,130,98%,60%,104,-26,42,13,115,84%,60%,104,-11
Orm,23,kvinde,2.60,0.380,93.75,100,6.18,23,8,90,25%,50%,100,10,12,9,95,37%,30%,92,-3,64,9,95,37%,60%,104,9,30,9,95,37%,60%,104,9
Slange,42,mand,3.00,0.250,108.75,113,4.67,26,11,105,63%,60%,104,-1,20,15,125,95%,98%,129,4,56,8,90,25%,70%,108,18,39,13,115,84%,80%,113,-2
Muldvarp,22,kvinde,3.60,0.310,106.25,103,-3.33,28,11,105,63%,70%,108,3,11,8,90,25%,40%,96,6,96,15,125,95%,60%,104,-21,37,11,105,63%,60%,104,-1
Marsvin,21,kvinde,3.10,0.130,110,99,-11.02,31,12,110,75%,50%,100,-10,16,12,110,75%,30%,92,-18,94,15,125,95%,60%,104,-21,32,9,95,37%,50%,100,5
Høne,21,kvinde,3.40,0.310,103.75,105,1.31,31,12,110,75%,60%,104,-6,8,5,75,5%,50%,100,25,78,12,110,75%,80%,113,3,43,14,120,91%,60%,104,-16
Hyæne,22,kvinde,2.00,0.060,95,92,-3.04,20,7,85,16%,40%,96,11,14,10,100,50%,20%,87,-13,63,9,95,37%,30%,92,-3,34,10,100,50%,30%,92,-8
Øgle,19,mand,2.60,0.380,106.25,105,-1.19,27,10,100,50%,60%,104,4,18,13,115,84%,80%,113,-2,84,13,115,84%,60%,104,-11,32,9,95,37%,50%,100,5
Jaguar,22,kvinde,3.20,0.190,101.25,100,-1.49,28,11,105,63%,60%,104,-1,12,9,95,37%,20%,87,-8,53,8,90,25%,50%,100,10,40,13,115,84%,70%,108,-7
Næbdyr,21,kvinde,2.70,0.000,98.75,96,-2.68,20,7,85,16%,30%,92,7,12,9,95,37%,30%,92,-3,95,15,125,95%,50%,100,-25,29,8,90,25%,50%,100,10
Næsehorn,25,kvinde,3.50,0.190,117.5,98,-19.71,33,14,120,91%,50%,100,-20,15,11,105,63%,20%,87,-18,89,14,120,91%,60%,104,-16,46,15,125,95%,50%,100,-25
Undulat,23,kvinde,2.90,0.000,101.25,98,-3.46,25,9,95,37%,50%,100,5,11,8,90,25%,20%,87,-3,101,16,130,98%,60%,104,-26,28,8,90,25%,50%,100,10
Flagermus,23,kvinde,2.60,0.500,98.75,99,0.30,25,9,95,37%,60%,104,9,12,9,95,37%,40%,96,1,65,10,100,50%,40%,96,-4,37,11,105,63%,50%,100,-5
Giraf,50,kvinde,2.10,0.130,103.75,98,-5.64,31,13,115,84%,60%,104,-11,16,11,105,63%,10%,81,-24,61,9,95,37%,70%,108,13,31,10,100,50%,50%,100,0
Vandbuk,64,kvinde,2.50,0.060,103.75,108,4.62,25,10,100,50%,70%,108,8,12,8,90,25%,40%,96,6,59,10,100,50%,50%,100,0,40,15,125,95%,98%,129,4
Øresvin,25,kvinde,2.60,0.060,91.25,93,2.04,22,8,90,25%,40%,96,6,12,9,95,37%,10%,81,-14,58,8,90,25%,40%,96,6,29,8,90,25%,50%,100,10
Gazelle,39,kvinde,4.00,?,105,100,-5.00,20,7,85,16%,50%,100,15,15,10,100,50%,40%,96,-4,83,13,115,84%,50%,100,-15,40,14,120,91%,60%,104,-16
Tapir,35,kvinde,3.00,0.440,122.5,105,-17.62,29,12,110,75%,60%,104,-6,20,15,125,95%,50%,100,-25,88,14,120,91%,70%,108,-12,49,17,135,99%,70%,108,-27
Søko,32,mand,2.90,0.190,102.5,102,-0.53,21,8,90,25%,60%,104,14,17,12,110,75%,70%,108,-2,64,10,100,50%,50%,100,0,38,12,110,75%,40%,96,-14
Rødlos,21,mand,2.80,0.310,107.5,104,-3.57,23,8,90,25%,60%,104,14,12,9,95,37%,40%,96,1,84,13,115,84%,70%,108,-7,49,16,130,98%,70%,108,-22
Rensdyr,24,mand,2.80,0.560,95,105,9.82,25,9,95,37%,60%,104,9,19,14,120,91%,70%,108,-12,52,7,85,16%,60%,104,19,22,6,80,9%,60%,104,24
Kænguru,23,kvinde,3.10,0.250,95,100,5.00,18,6,80,9%,40%,96,16,8,5,75,5%,30%,92,17,82,13,115,84%,70%,108,-7,39,12,110,75%,60%,104,-6
Oryx,21,kvinde,2.80,0.630,93.75,99,5.23,17,5,75,5%,30%,92,17,11,8,90,25%,60%,104,14,78,12,110,75%,40%,96,-14,33,10,100,50%,60%,104,4
Ozelot,31,kvinde,2.80,0.310,100,98,-1.97,31,13,115,84%,50%,100,-15,16,11,105,63%,30%,92,-13,59,9,95,37%,50%,100,5,25,7,85,16%,50%,100,15
Okapi,20,kvinde,2.60,0.190,105,92,-12.72,28,11,105,63%,30%,92,-13,12,9,95,37%,10%,81,-14,65,10,100,50%,40%,96,-4,43,14,120,91%,50%,100,-20
Okse,26,kvinde,3.00,0.250,101.25,100,-1.25,29,12,110,75%,60%,104,-6,9,6,80,9%,40%,96,16,88,14,120,91%,30%,92,-28,30,9,95,37%,70%,108,13
Narhval,22,kvinde,2.50,0.190,105,99,-5.95,32,13,115,84%,40%,96,-19,12,9,95,37%,40%,96,1,69,10,100,50%,60%,104,4,39,12,110,75%,50%,100,-10
Los,23,kvinde,2.90,0.130,106.25,103,-3.33,26,10,100,50%,60%,104,4,17,12,110,75%,50%,100,-10,73,11,105,63%,50%,100,-5,39,12,110,75%,70%,108,-2
Lama,27,kvinde,2.60,0.500,107.5,103,-4.65,29,12,110,75%,50%,100,-10,15,11,105,63%,60%,104,-1,85,14,120,91%,60%,104,-16,32,9,95,37%,60%,104,9
Kudo,25,kvinde,2.90,0.060,108.75,96,-12.62,29,12,110,75%,40%,96,-14,12,9,95,37%,30%,92,-3,85,14,120,91%,50%,100,-20,39,12,110,75%,40%,96,-14
Bavian,31,kvinde,2.60,0.060,111.25,100,-11.32,28,12,110,75%,50%,100,-10,15,11,105,63%,30%,92,-13,73,11,105,63%,60%,104,-1,46,15,125,95%,60%,104,-21
Impala,35,mand,3.80,0.690,122.5,114,-8.23,28,12,110,75%,80%,113,3,21,17,135,99%,90%,119,-16,90,15,125,95%,80%,113,-12,41,14,120,91%,80%,113,-7
Egern,22,kvinde,3.20,0.190,91.25,90,-1.18,21,7,85,16%,10%,81,-4,11,8,90,25%,50%,100,10,60,9,95,37%,20%,87,-8,31,9,95,37%,30%,92,-3
Gnu,34,kvinde,3.30,0.250,100,112,11.54,24,10,100,50%,50%,100,0,10,7,85,16%,20%,87,2,70,11,105,63%,98%,129,24,39,12,110,75%,98%,129,19
Elg,59,kvinde,3.30,0.190,117.5,103,-14.58,32,13,115,84%,70%,108,-7,18,13,115,84%,60%,104,-11,78,15,125,95%,50%,100,-25,34,13,115,84%,50%,100,-15
Dingo,22,kvinde,3.00,0.060,102.5,99,-3.45,23,8,90,25%,40%,96,6,12,9,95,37%,50%,100,5,90,14,120,91%,50%,100,-20,37,11,105,63%,50%,100,-5
Bison,20,kvinde,3.30,0.190,97.5,100,2.50,21,7,85,16%,40%,96,11,13,9,95,37%,40%,96,1,90,14,120,91%,60%,104,-16,29,8,90,25%,60%,104,14
Lemur,44,kvinde,2.40,0.060,92.5,99,6.24,20,7,85,16%,50%,100,15,12,8,90,25%,20%,87,-3,73,11,105,63%,60%,104,-1,28,8,90,25%,60%,104,14
Struds,23,kvinde,2.80,0.250,110,99,-10.95,33,14,120,91%,50%,100,-20,13,9,95,37%,50%,100,5,88,14,120,91%,50%,100,-20,35,11,105,63%,40%,96,-9
Skade,33,mand,3.40,0.310,102.5,104,1.67,28,12,110,75%,50%,100,-10,14,10,100,50%,40%,96,-4,67,10,100,50%,70%,108,8,33,10,100,50%,80%,113,13
Krage,54,kvinde,2.70,0.060,86.25,97,10.59,17,6,80,9%,50%,100,20,12,8,90,25%,20%,87,-3,64,10,100,50%,50%,100,0,18,5,75,5%,50%,100,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
