"","phase","id","instruction","pc2","fc2","pcs1","fcs1","pcfs12"
"92","posttest","naesehorn","transfer",1.69133403190033,1.55542201107139,3.72304564784111,3.19822126840116,3.01381558054951
"93","posttest","odder","transfer",1.31036265952618,1.31374436901817,2.794718959866,2.63760395300701,2.67121405441972
"94","posttest","Orangutan","transfer",2.37985525015178,1.4934269756889,2.48537115035148,1.75488888976984,2.39628346212636
"95","posttest","Pandabjoern","training",1.56751520346487,1.28652370417761,2.67742318344392,2.00749224315738,2.2267834319304
"96","posttest","Pindsvin","training",1.55009212910421,0.970534320378002,2.8161266812116,2.64254487864319,2.31023608705781
"97","posttest","Pingvin","training",1.58752101291335,1.88981396027008,3.08941072954748,2.99716822571845,2.8319824378525
"98","posttest","rensdyr","training",1.65354415788353,1.23498910772728,3.53878045083195,3.33850017315395,3.41863529970619
"99","posttest","Rokke","transfer",1.71502749755133,0.801708354434184,2.44226460096518,2.02469670494524,2.35639587565799
"100","posttest","Stenbuk","transfer",1.2069114167942,0.653054835987799,2.74803593924158,2.30909082760452,2.47165572070136
"101","posttest","Tangloppe","transfer",1.36651690327415,1.28652370417761,3.56536464187277,2.35161795709251,2.85179658214528
"102","posttest","Tiger","training",1.6356105639834,1.7109841157823,3.4763622808966,2.82030273194173,2.90598516486455
"103","posttest","Torsk","transfer",1.12717263035569,0.974589546382887,3.1638866624184,3.22968963430027,2.23204737694706
"104","posttest","ugle","training",1.05547648972858,0.422804505440747,2.70350274998421,2.02235803492531,2.57656089068548
