id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_tested,simulate,color_tested,figure_response,figure_target,sound_tested,sound_response,color_score,color_target,timestamp,position_tested,position_target,occupation,figure_score,sound_score,sound_target,color_response,position_response
Haj ,female,21,training_train,practice,p1,1,1,1,4,white,circle,,1,0,no,0,,,0,,,,1554811983935,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,2,2,white,circle,,1,0,no,0,,,0,,,,1554811986485,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,3,7,white,circle,,1,0,no,0,,,0,,,,1554811989035,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,4,7,white,circle,,1,0,no,0,,,0,,,,1554811991602,1,1,Studerende,,,,,1
Haj ,female,21,training_train,practice,p1,1,1,5,8,white,circle,,1,0,no,0,,,0,,,,1554811994152,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,6,4,white,circle,,1,0,no,0,,,0,,,,1554811996703,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,7,3,white,circle,,1,0,no,0,,,0,,,,1554811999253,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,8,6,white,circle,,1,0,no,0,,,0,,,,1554812001802,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,9,3,white,circle,,1,0,no,0,,,0,,,,1554812004353,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,10,0,white,circle,,1,0,no,0,,,0,,,,1554812006902,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,11,0,white,circle,,1,0,no,0,,,0,,,,1554812009469,1,1,Studerende,,,,,1
Haj ,female,21,training_train,practice,p1,1,1,12,5,white,circle,,1,0,no,0,,,0,,,,1554812012019,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,13,5,white,circle,,1,0,no,0,,,0,,,,1554812014586,1,1,Studerende,,,,,1
Haj ,female,21,training_train,practice,p1,1,1,14,1,white,circle,,1,0,no,0,,,0,,,,1554812017136,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,15,5,white,circle,,1,0,no,0,,,0,,,,1554812019686,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,16,7,white,circle,,1,0,no,0,,,0,,,,1554812022237,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,17,0,white,circle,,1,0,no,0,,,0,,,,1554812024786,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,18,0,white,circle,,1,0,no,0,,,0,,,,1554812027353,1,1,Studerende,,,,,1
Haj ,female,21,training_train,practice,p1,1,1,19,2,white,circle,,1,0,no,0,,,0,,,,1554812029903,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,20,2,white,circle,,0,0,no,0,,,0,,,,1554812032454,1,1,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,21,2,white,circle,,1,0,no,0,,,0,,,,1554812035020,1,1,Studerende,,,,,1
Haj ,female,21,training_train,practice,p1,1,1,22,5,white,circle,,1,0,no,0,,,0,,,,1554812037570,1,0,Studerende,,,,,0
Haj ,female,21,training_train,practice,p1,1,1,23,5,white,circle,,1,0,no,0,,,0,,,,1554812040137,1,1,Studerende,,,,,1
