id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,figure_score,color_target,position_score,sound_response,sound_target,position_tested,figure_tested,figure_target,sound_tested,simulate,occupation,position_target,figure_response,position_response,color_score,color_tested,color_response,sound_score
okse,female,23,training_train,practice,f2,1,2,10,4,white,triangle,,1555328380944,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,11,4,white,star,,1555328383504,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,12,4,white,square,,1555328386064,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,13,4,white,square,,1555328388624,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,14,4,white,square,,1555328391184,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,15,4,white,star,,1555328393744,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,16,4,white,star,,1555328396304,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,17,4,white,star,,1555328398864,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,18,4,white,circle,,1555328401424,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,19,4,white,triangle,,1555328403984,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,20,4,white,star,,1555328406544,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,21,4,white,circle,,1555328409104,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,22,4,white,triangle,,1555328411664,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,23,4,white,triangle,,1555328414224,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,24,4,white,triangle,,1555328416784,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,25,4,white,square,,1555328419344,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,26,4,white,circle,,1555328421904,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,27,4,white,circle,,1555328424464,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,28,4,white,circle,,1555328427024,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,29,4,white,square,,1555328429584,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,30,4,white,square,,1555328432144,1,,,,,0,1,0,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,31,4,white,square,,1555328434704,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,f2,1,2,32,4,white,square,,1555328437264,0,,,,,0,1,1,0,no,Studerende,,0,,,0,,
okse,female,23,training_train,practice,sc2,2,2,1,4,yellow,circle,sounds\E.wav,1555328536774,,0,,1,0,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,2,4,red,circle,sounds\V.wav,1555328539334,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,3,4,red,circle,sounds\E.wav,1555328541894,,0,,0,1,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,4,4,dimgray,circle,sounds\E.wav,1555328544454,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,5,4,yellow,circle,sounds\P.wav,1555328547014,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,6,4,darkorange,circle,sounds\D.wav,1555328549604,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,7,4,dimgray,circle,sounds\G.wav,1555328552164,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,8,4,yellow,circle,sounds\D.wav,1555328554724,,0,,0,1,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,9,4,dimgray,circle,sounds\E.wav,1555328557304,,1,,1,0,0,0,,1,no,Studerende,,,,0,1,0,0
okse,female,23,training_train,practice,sc2,2,2,10,4,yellow,circle,sounds\V.wav,1555328559864,,1,,0,0,0,0,,1,no,Studerende,,,,0,1,0,1
okse,female,23,training_train,practice,sc2,2,2,11,4,blue,circle,sounds\E.wav,1555328562444,,0,,1,1,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,12,4,red,circle,sounds\G.wav,1555328565004,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,13,4,dimgray,circle,sounds\G.wav,1555328567564,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,14,4,red,circle,sounds\D.wav,1555328570124,,1,,0,0,0,0,,1,no,Studerende,,,,0,1,0,1
okse,female,23,training_train,practice,sc2,2,2,15,4,white,circle,sounds\E.wav,1555328572684,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,16,4,white,circle,sounds\T.wav,1555328575264,,0,,1,0,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,17,4,blue,circle,sounds\P.wav,1555328577844,,0,,0,0,0,0,,1,no,Studerende,,,,0,1,1,1
okse,female,23,training_train,practice,sc2,2,2,18,4,white,circle,sounds\E.wav,1555328580424,,1,,0,0,0,0,,1,no,Studerende,,,,1,1,1,1
okse,female,23,training_train,practice,sc2,2,2,19,4,white,circle,sounds\V.wav,1555328583044,,0,,0,0,0,0,,1,no,Studerende,,,,0,1,1,1
okse,female,23,training_train,practice,sc2,2,2,20,4,white,circle,sounds\D.wav,1555328585624,,1,,0,0,0,0,,1,no,Studerende,,,,1,1,1,1
okse,female,23,training_train,practice,sc2,2,2,21,4,yellow,circle,sounds\T.wav,1555328588204,,0,,1,0,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,22,4,dimgray,circle,sounds\G.wav,1555328590764,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,23,4,darkorange,circle,sounds\D.wav,1555328593344,,0,,1,0,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,24,4,blue,circle,sounds\E.wav,1555328595904,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,25,4,green,circle,sounds\D.wav,1555328598464,,0,,0,1,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,26,4,darkorange,circle,sounds\P.wav,1555328601024,,0,,0,0,0,0,,1,no,Studerende,,,,1,1,0,1
okse,female,23,training_train,practice,sc2,2,2,27,4,green,circle,sounds\B.wav,1555328603584,,1,,0,0,0,0,,1,no,Studerende,,,,0,1,0,1
okse,female,23,training_train,practice,sc2,2,2,28,4,dimgray,circle,sounds\P.wav,1555328606144,,0,,0,1,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,29,4,red,circle,sounds\B.wav,1555328608724,,0,,0,1,0,0,,1,no,Studerende,,,,0,1,1,0
okse,female,23,training_train,practice,sc2,2,2,30,4,dimgray,circle,sounds\T.wav,1555328611284,,1,,0,0,0,0,,1,no,Studerende,,,,0,1,0,1
okse,female,23,training_train,practice,sc2,2,2,31,4,yellow,circle,sounds\B.wav,1555328613844,,0,,0,1,0,0,,1,no,Studerende,,,,1,1,0,0
okse,female,23,training_train,practice,sc2,2,2,32,4,dimgray,circle,sounds\T.wav,1555328616404,,1,,0,1,0,0,,1,no,Studerende,,,,0,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,1,2,green,square,sounds\P.wav,1555328679884,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,2,4,red,square,sounds\T.wav,1555328683444,0,0,1,0,0,1,1,1,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,3,1,green,triangle,sounds\G.wav,1555328687004,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,4,1,yellow,circle,sounds\G.wav,1555328690574,1,0,0,1,1,1,1,0,1,no,Studerende,1,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,5,0,green,star,sounds\D.wav,1555328694124,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,6,1,green,square,sounds\C.wav,1555328697684,1,1,1,0,0,1,1,0,1,no,Studerende,0,0,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,7,5,green,star,sounds\B.wav,1555328701244,1,1,1,0,0,1,1,0,1,no,Studerende,0,0,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,8,5,yellow,square,sounds\B.wav,1555328704804,1,0,0,0,1,1,1,0,1,no,Studerende,1,0,0,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,9,0,yellow,square,sounds\V.wav,1555328708364,0,1,1,0,0,1,1,1,1,no,Studerende,0,0,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,10,0,blue,triangle,sounds\D.wav,1555328711924,1,0,0,0,0,1,1,0,1,no,Studerende,1,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,11,8,white,square,sounds\T.wav,1555328715484,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,12,5,green,triangle,sounds\G.wav,1555328719044,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
