id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_score,position_score,sound_tested,figure_tested,sound_target,position_response,figure_response,sound_response,sound_score,color_tested,figure_score,simulate,figure_target,position_tested,occupation,position_target,color_response,color_target,timestamp
abe,female,22,training_transfer,practice,p1,1,1,1,7,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060326748
abe,female,22,training_transfer,practice,p1,1,1,2,3,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060329352
abe,female,22,training_transfer,practice,p1,1,1,3,6,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060331932
abe,female,22,training_transfer,practice,p1,1,1,4,4,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060334506
abe,female,22,training_transfer,practice,p1,1,1,5,4,white,circle,,,1,0,0,,1,,,,0,,no,,1,Studerende,1,,,1555060337089
abe,female,22,training_transfer,practice,p1,1,1,6,7,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060339685
abe,female,22,training_transfer,practice,p1,1,1,7,7,white,circle,,,1,0,0,,1,,,,0,,no,,1,Studerende,1,,,1555060342280
abe,female,22,training_transfer,practice,p1,1,1,8,7,white,circle,,,1,0,0,,1,,,,0,,no,,1,Studerende,1,,,1555060344860
abe,female,22,training_transfer,practice,p1,1,1,9,0,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060347444
abe,female,22,training_transfer,practice,p1,1,1,10,1,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060350024
abe,female,22,training_transfer,practice,p1,1,1,11,7,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060352622
abe,female,22,training_transfer,practice,p1,1,1,12,7,white,circle,,,1,0,0,,1,,,,0,,no,,1,Studerende,1,,,1555060355214
abe,female,22,training_transfer,practice,p1,1,1,13,7,white,circle,,,1,0,0,,1,,,,0,,no,,1,Studerende,1,,,1555060357798
abe,female,22,training_transfer,practice,p1,1,1,14,5,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060360378
abe,female,22,training_transfer,practice,p1,1,1,15,8,white,circle,,,1,0,0,,0,,,,0,,no,,1,Studerende,0,,,1555060362967
abe,female,22,training_transfer,practice,p1,1,1,16,8,white,circle,,,1,0,0,,1,,,,0,,no,,1,Studerende,1,,,1555060365568
