id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_target,color_target,position_tested,color_score,sound_score,sound_tested,figure_tested,occupation,position_target,color_tested,figure_score,figure_target,sound_response,position_score,simulate,position_response,color_response,figure_response
Emu,female,19,training_train,practice,f2,1,2,9,4,white,star,,1554811565860,,,0,,,0,1,Studerende,,0,0,0,,,no,,,1
Emu,female,19,training_train,practice,f2,1,2,10,4,white,star,,1554811568441,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,11,4,white,circle,,1554811571015,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,12,4,white,triangle,,1554811573587,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,13,4,white,star,,1554811576161,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,14,4,white,triangle,,1554811578736,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,15,4,white,star,,1554811581311,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,16,4,white,circle,,1554811583882,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,17,4,white,circle,,1554811586468,,,0,,,0,1,Studerende,,0,0,0,,,no,,,1
Emu,female,19,training_train,practice,f2,1,2,18,4,white,star,,1554811589062,,,0,,,0,1,Studerende,,0,0,0,,,no,,,1
Emu,female,19,training_train,practice,f2,1,2,19,4,white,circle,,1554811591638,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,20,4,white,circle,,1554811594213,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,21,4,white,circle,,1554811596784,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,22,4,white,star,,1554811599359,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,23,4,white,square,,1554811601947,,,0,,,0,1,Studerende,,0,0,0,,,no,,,1
Emu,female,19,training_train,practice,f2,1,2,24,4,white,star,,1554811604522,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,25,4,white,triangle,,1554811607094,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,26,4,white,star,,1554811609669,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,27,4,white,triangle,,1554811612243,,,0,,,0,1,Studerende,,0,0,1,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,28,4,white,square,,1554811614818,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,29,4,white,square,,1554811617390,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,30,4,white,triangle,,1554811619964,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,31,4,white,circle,,1554811622536,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,f2,1,2,32,4,white,circle,,1554811625110,,,0,,,0,1,Studerende,,0,1,0,,,no,,,0
Emu,female,19,training_train,practice,sc2,2,2,1,4,darkorange,circle,sounds/P.wav,1554811669966,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,2,4,yellow,circle,sounds/B.wav,1554811672537,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,3,4,dimgray,circle,sounds/E.wav,1554811675115,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,4,4,darkorange,circle,sounds/C.wav,1554811677704,0,0,0,0,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,5,4,dimgray,circle,sounds/E.wav,1554811680275,1,1,0,0,0,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,6,4,white,circle,sounds/C.wav,1554811682849,1,0,0,1,0,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,7,4,dimgray,circle,sounds/C.wav,1554811685425,0,1,0,0,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,8,4,blue,circle,sounds/E.wav,1554811687999,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,9,4,darkorange,circle,sounds/E.wav,1554811690568,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,10,4,green,circle,sounds/V.wav,1554811693145,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,11,4,yellow,circle,sounds/V.wav,1554811695734,0,0,0,0,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,12,4,green,circle,sounds/G.wav,1554811698308,0,1,0,0,1,1,0,Studerende,,1,,,0,,no,,0,
