id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,practice,p1,1,1,1,3,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554980980220,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,2,3,white,circle,,1,,,,1,0,Studerende,0,1,,,0,,,,1554980982817,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,3,2,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554980985401,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,4,7,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554980987975,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,5,1,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554980990569,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,6,1,white,circle,,1,,,,1,0,Studerende,0,1,,,0,,,,1554980993156,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,7,4,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554980995754,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,8,6,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554980998325,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,9,7,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554981000900,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,10,7,white,circle,,1,,,,1,0,Studerende,0,1,,,0,,,,1554981003522,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,11,2,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554981006101,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,12,2,white,circle,,1,,,,1,0,Studerende,0,1,,,0,,,,1554981008686,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,13,8,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554981011270,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,14,5,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554981013844,1,no,
Lama,male,22,training_transfer,practice,p1,1,1,15,4,white,circle,,0,,,,0,0,Studerende,0,1,,,0,,,,1554981016436,1,no,
