id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,figure_score,color_response,color_tested,sound_response,figure_response,simulate,sound_tested,color_target,color_score,position_score,figure_target,position_target,timestamp,sound_target,figure_tested,occupation,position_tested,sound_score
chimpanse,female,,training_train,practice,p1,1,1,1,7,white,circle,,0,,,0,,,no,0,,,1,,0,1554797564727,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,2,0,white,circle,,0,,,0,,,no,0,,,1,,0,1554797567309,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,3,1,white,circle,,0,,,0,,,no,0,,,1,,0,1554797569890,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,4,4,white,circle,,0,,,0,,,no,0,,,1,,0,1554797572459,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,5,8,white,circle,,0,,,0,,,no,0,,,1,,0,1554797575028,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,6,6,white,circle,,0,,,0,,,no,0,,,1,,0,1554797577591,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,7,4,white,circle,,0,,,0,,,no,0,,,1,,0,1554797580160,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,8,4,white,circle,,1,,,0,,,no,0,,,1,,1,1554797582761,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,9,8,white,circle,,0,,,0,,,no,0,,,1,,0,1554797585344,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,10,8,white,circle,,1,,,0,,,no,0,,,1,,1,1554797587945,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,11,3,white,circle,,0,,,0,,,no,0,,,1,,0,1554797590514,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,12,5,white,circle,,0,,,0,,,no,0,,,1,,0,1554797593094,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,13,7,white,circle,,0,,,0,,,no,0,,,1,,0,1554797595663,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,14,7,white,circle,,1,,,0,,,no,0,,,1,,1,1554797598264,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,15,5,white,circle,,0,,,0,,,no,0,,,1,,0,1554797600847,,0,Studerende,1,
chimpanse,female,,training_train,practice,p1,1,1,16,8,white,circle,,0,,,0,,,no,0,,,1,,0,1554797603430,,0,Studerende,1,
