id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,simulate,sound_response,figure_target,color_tested,color_target,sound_tested,occupation,figure_tested,figure_score,sound_target,color_score,position_tested,position_target,sound_score,position_response,color_response,timestamp,position_score,figure_response
Giraf,female,22,training_train,practice,f2,1,2,8,4,white,triangle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554969994184,,0
Giraf,female,22,training_train,practice,f2,1,2,9,4,white,triangle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554969996755,,0
Giraf,female,22,training_train,practice,f2,1,2,10,4,white,star,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554969999327,,0
Giraf,female,22,training_train,practice,f2,1,2,11,4,white,triangle,,no,,1,0,,0,Studerende,1,1,,,0,,,,,1554970001918,,1
Giraf,female,22,training_train,practice,f2,1,2,12,4,white,triangle,,no,,0,0,,0,Studerende,1,0,,,0,,,,,1554970004507,,1
Giraf,female,22,training_train,practice,f2,1,2,13,4,white,star,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970007080,,0
Giraf,female,22,training_train,practice,f2,1,2,14,4,white,square,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970009656,,0
Giraf,female,22,training_train,practice,f2,1,2,15,4,white,triangle,,no,,0,0,,0,Studerende,1,0,,,0,,,,,1554970012245,,1
Giraf,female,22,training_train,practice,f2,1,2,16,4,white,square,,no,,1,0,,0,Studerende,1,0,,,0,,,,,1554970014817,,0
Giraf,female,22,training_train,practice,f2,1,2,17,4,white,circle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970017394,,0
Giraf,female,22,training_train,practice,f2,1,2,18,4,white,square,,no,,1,0,,0,Studerende,1,1,,,0,,,,,1554970019980,,1
Giraf,female,22,training_train,practice,f2,1,2,19,4,white,triangle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970022572,,0
Giraf,female,22,training_train,practice,f2,1,2,20,4,white,square,,no,,1,0,,0,Studerende,1,0,,,0,,,,,1554970025146,,0
Giraf,female,22,training_train,practice,f2,1,2,21,4,white,square,,no,,0,0,,0,Studerende,1,0,,,0,,,,,1554970027736,,1
Giraf,female,22,training_train,practice,f2,1,2,22,4,white,triangle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970030319,,0
Giraf,female,22,training_train,practice,f2,1,2,23,4,white,circle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970032899,,0
Giraf,female,22,training_train,practice,f2,1,2,24,4,white,square,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970035479,,0
Giraf,female,22,training_train,practice,f2,1,2,25,4,white,triangle,,no,,0,0,,0,Studerende,1,0,,,0,,,,,1554970038062,,1
