id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_response,position_response,color_score,sound_tested,position_score,figure_response,simulate,color_tested,figure_score,occupation,sound_target,position_target,figure_target,color_target,sound_score,color_response,figure_tested,position_tested
Pingvin,male,23,training_train,practice,f2,1,2,7,4,white,triangle,,1555413683611,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,8,4,white,star,,1555413686161,,,,0,,0,no,0,0,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,9,4,white,square,,1555413688711,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,10,4,white,triangle,,1555413691261,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,11,4,white,circle,,1555413693811,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,12,4,white,star,,1555413696362,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,13,4,white,square,,1555413698929,,,,0,,1,no,0,0,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,14,4,white,star,,1555413701478,,,,0,,0,no,0,0,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,15,4,white,triangle,,1555413704028,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,16,4,white,triangle,,1555413706595,,,,0,,1,no,0,0,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,17,4,white,triangle,,1555413709145,,,,0,,0,no,0,0,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,18,4,white,circle,,1555413711702,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,19,4,white,star,,1555413714247,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,20,4,white,circle,,1555413716813,,,,0,,1,no,0,1,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,21,4,white,square,,1555413719373,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
