id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,position_target,figure_tested,timestamp,sound_target,color_tested,sound_response,color_score,figure_target,sound_score,sound_tested,figure_score,simulate,position_response,occupation,color_target,position_score,color_response,position_tested
Orangutan,male,55,training_transfer,practice,p1,1,1,14,2,white,circle,,,0,0,1555673412071,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,15,2,white,circle,,,1,0,1555673414621,,0,,,,,0,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,16,2,white,circle,,,1,0,1555673417188,,0,,,,,0,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,17,3,white,circle,,,0,0,1555673419738,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,18,7,white,circle,,,0,0,1555673422288,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,19,8,white,circle,,,0,0,1555673424838,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,20,0,white,circle,,,0,0,1555673427389,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,21,1,white,circle,,,0,0,1555673429942,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,22,0,white,circle,,,0,0,1555673432505,,0,,,,,0,,no,1,Andet,,0,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,23,5,white,circle,,,0,0,1555673435055,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,24,4,white,circle,,,0,0,1555673437605,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,25,1,white,circle,,,0,0,1555673440155,,0,,,,,0,,no,0,Andet,,1,,1
