id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,sound_score,simulate,color_target,figure_tested,sound_tested,position_response,sound_target,color_tested,color_score,sound_response,figure_target,color_response,position_tested,timestamp,figure_response,figure_score,occupation,position_score
mus,male,25,training_transfer,practice,p1,1,1,1,3,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330434792,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,2,3,white,circle,,1,,no,,0,0,0,,0,,,,,1,1555330437361,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,3,7,white,circle,,0,,no,,0,0,1,,0,,,,,1,1555330439939,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,4,7,white,circle,,1,,no,,0,0,1,,0,,,,,1,1555330442545,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,5,0,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330445131,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,6,3,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330447710,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,7,6,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330450298,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,8,4,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330452875,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,9,6,white,circle,,0,,no,,0,0,1,,0,,,,,1,1555330455476,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,10,0,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330458054,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,11,7,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330460643,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,12,8,white,circle,,0,,no,,0,0,1,,0,,,,,1,1555330463249,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,13,5,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330465824,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,14,2,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330468410,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,15,8,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330471011,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,16,4,white,circle,,0,,no,,0,0,1,,0,,,,,1,1555330473594,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,17,0,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330476189,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,18,6,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330478798,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,19,4,white,circle,,0,,no,,0,0,1,,0,,,,,1,1555330481399,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,20,3,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330483968,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,21,3,white,circle,,1,,no,,0,0,0,,0,,,,,1,1555330486534,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,22,7,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330489117,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,23,7,white,circle,,1,,no,,0,0,1,,0,,,,,1,1555330491703,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,24,7,white,circle,,1,,no,,0,0,1,,0,,,,,1,1555330494280,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,25,3,white,circle,,0,,no,,0,0,1,,0,,,,,1,1555330496881,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,26,3,white,circle,,1,,no,,0,0,0,,0,,,,,1,1555330499471,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,27,3,white,circle,,1,,no,,0,0,0,,0,,,,,1,1555330502065,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,28,0,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330504662,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,29,1,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330507238,,,Studerende,1
mus,male,25,training_transfer,practice,p1,1,1,30,1,white,circle,,1,,no,,0,0,0,,0,,,,,1,1555330509833,,,Studerende,0
mus,male,25,training_transfer,practice,p1,1,1,31,7,white,circle,,0,,no,,0,0,0,,0,,,,,1,1555330512413,,,Studerende,1
mus,male,25,training_transfer,practice,f2,1,2,1,4,white,circle,,,,no,,1,0,,,0,,,0,,0,1555330586052,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,2,4,white,square,,,,no,,1,0,,,0,,,0,,0,1555330588620,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,3,4,white,triangle,,,,no,,1,0,,,0,,,0,,0,1555330591189,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,4,4,white,square,,,,no,,1,0,,,0,,,1,,0,1555330593770,1,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,5,4,white,square,,,,no,,1,0,,,0,,,0,,0,1555330596353,1,0,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,6,4,white,circle,,,,no,,1,0,,,0,,,0,,0,1555330598925,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,7,4,white,triangle,,,,no,,1,0,,,0,,,0,,0,1555330601493,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,8,4,white,square,,,,no,,1,0,,,0,,,0,,0,1555330604062,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,9,4,white,triangle,,,,no,,1,0,,,0,,,1,,0,1555330606646,1,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,10,4,white,square,,,,no,,1,0,,,0,,,1,,0,1555330609214,0,0,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,11,4,white,circle,,,,no,,1,0,,,0,,,0,,0,1555330611780,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,12,4,white,triangle,,,,no,,1,0,,,0,,,0,,0,1555330614349,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,13,4,white,square,,,,no,,1,0,,,0,,,0,,0,1555330616929,1,0,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,14,4,white,triangle,,,,no,,1,0,,,0,,,1,,0,1555330619529,1,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,15,4,white,square,,,,no,,1,0,,,0,,,1,,0,1555330622116,1,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,16,4,white,circle,,,,no,,1,0,,,0,,,0,,0,1555330624705,1,0,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,17,4,white,circle,,,,no,,1,0,,,0,,,0,,0,1555330627274,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,18,4,white,circle,,,,no,,1,0,,,0,,,1,,0,1555330629851,1,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,19,4,white,square,,,,no,,1,0,,,0,,,0,,0,1555330632424,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,20,4,white,triangle,,,,no,,1,0,,,0,,,0,,0,1555330634994,0,1,Studerende,
mus,male,25,training_transfer,practice,f2,1,2,21,4,white,circle,,,,no,,1,0,,,0,,,0,,0,1555330637573,1,0,Studerende,
