id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_response,position_response,figure_score,color_tested,color_response,sound_target,position_tested,sound_score,simulate,position_target,sound_tested,sound_response,figure_target,color_score,occupation,timestamp,color_target,figure_tested
rensdyr,female,22,training_train,practice,f2,1,2,8,4,white,triangle,,,1,,1,0,,,0,,no,,0,,1,,Studerende,1555316751507,,1
rensdyr,female,22,training_train,practice,f2,1,2,9,4,white,triangle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316754076,,1
rensdyr,female,22,training_train,practice,f2,1,2,10,4,white,square,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316756644,,1
rensdyr,female,22,training_train,practice,f2,1,2,11,4,white,circle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316759210,,1
rensdyr,female,22,training_train,practice,f2,1,2,12,4,white,triangle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316761779,,1
rensdyr,female,22,training_train,practice,f2,1,2,13,4,white,star,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316764347,,1
rensdyr,female,22,training_train,practice,f2,1,2,14,4,white,circle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316766914,,1
rensdyr,female,22,training_train,practice,f2,1,2,15,4,white,circle,,,1,,0,0,,,0,,no,,0,,0,,Studerende,1555316769506,,1
rensdyr,female,22,training_train,practice,f2,1,2,16,4,white,circle,,,0,,0,0,,,0,,no,,0,,1,,Studerende,1555316772085,,1
rensdyr,female,22,training_train,practice,f2,1,2,17,4,white,square,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316774652,,1
rensdyr,female,22,training_train,practice,f2,1,2,18,4,white,triangle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316777221,,1
rensdyr,female,22,training_train,practice,f2,1,2,19,4,white,square,,,0,,0,0,,,0,,no,,0,,1,,Studerende,1555316779790,,1
rensdyr,female,22,training_train,practice,f2,1,2,20,4,white,square,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316782356,,1
rensdyr,female,22,training_train,practice,f2,1,2,21,4,white,square,,,0,,0,0,,,0,,no,,0,,1,,Studerende,1555316784924,,1
rensdyr,female,22,training_train,practice,f2,1,2,22,4,white,circle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316787493,,1
rensdyr,female,22,training_train,practice,f2,1,2,23,4,white,star,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316790061,,1
rensdyr,female,22,training_train,practice,f2,1,2,24,4,white,circle,,,1,,1,0,,,0,,no,,0,,1,,Studerende,1555316792645,,1
rensdyr,female,22,training_train,practice,f2,1,2,25,4,white,square,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316795214,,1
rensdyr,female,22,training_train,practice,f2,1,2,26,4,white,circle,,,0,,0,0,,,0,,no,,0,,1,,Studerende,1555316797780,,1
rensdyr,female,22,training_train,practice,f2,1,2,27,4,white,triangle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316800349,,1
rensdyr,female,22,training_train,practice,f2,1,2,28,4,white,star,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316802918,,1
rensdyr,female,22,training_train,practice,f2,1,2,29,4,white,star,,,1,,0,0,,,0,,no,,0,,0,,Studerende,1555316805495,,1
rensdyr,female,22,training_train,practice,f2,1,2,30,4,white,triangle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316808070,,1
rensdyr,female,22,training_train,practice,f2,1,2,31,4,white,triangle,,,1,,0,0,,,0,,no,,0,,0,,Studerende,1555316810646,,1
rensdyr,female,22,training_train,practice,f2,1,2,32,4,white,circle,,,0,,1,0,,,0,,no,,0,,0,,Studerende,1555316813222,,1
rensdyr,female,22,training_train,practice,sc2,2,2,1,4,green,circle,sounds/G.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316835899,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,2,4,blue,circle,sounds/D.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316838468,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,3,4,green,circle,sounds/G.wav,,,,,1,0,1,0,1,no,,1,1,,0,Studerende,1555316841057,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,4,4,darkorange,circle,sounds/E.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316843652,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,5,4,red,circle,sounds/D.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316846244,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,6,4,red,circle,sounds/V.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316848822,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,7,4,darkorange,circle,sounds/D.wav,,,,,1,1,1,0,1,no,,1,1,,0,Studerende,1555316851425,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,8,4,yellow,circle,sounds/V.wav,,,,,1,0,1,0,1,no,,1,1,,1,Studerende,1555316854014,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,9,4,darkorange,circle,sounds/E.wav,,,,,1,0,0,0,1,no,,1,0,,0,Studerende,1555316856594,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,10,4,darkorange,circle,sounds/C.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316859177,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,11,4,darkorange,circle,sounds/B.wav,,,,,1,1,0,0,1,no,,1,0,,1,Studerende,1555316861762,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,12,4,yellow,circle,sounds/D.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316864354,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,13,4,darkorange,circle,sounds/B.wav,,,,,1,1,1,0,0,no,,1,0,,1,Studerende,1555316866946,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,14,4,dimgray,circle,sounds/G.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316869517,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,15,4,white,circle,sounds/C.wav,,,,,1,1,0,0,0,no,,1,1,,0,Studerende,1555316872045,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,16,4,red,circle,sounds/G.wav,,,,,1,0,1,0,1,no,,1,1,,1,Studerende,1555316874655,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,17,4,blue,circle,sounds/E.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316877238,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,18,4,yellow,circle,sounds/G.wav,,,,,1,0,1,0,1,no,,1,1,,1,Studerende,1555316879830,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,19,4,blue,circle,sounds/E.wav,,,,,1,0,1,0,1,no,,1,1,,0,Studerende,1555316882442,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,20,4,yellow,circle,sounds/P.wav,,,,,1,0,0,0,0,no,,1,1,,0,Studerende,1555316885037,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,21,4,green,circle,sounds/C.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316887609,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,22,4,white,circle,sounds/E.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316890204,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,23,4,green,circle,sounds/V.wav,,,,,1,0,0,0,1,no,,1,0,,0,Studerende,1555316892778,1,0
rensdyr,female,22,training_train,practice,sc2,2,2,24,4,darkorange,circle,sounds/E.wav,,,,,1,0,1,0,0,no,,1,0,,1,Studerende,1555316895347,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,25,4,dimgray,circle,sounds/E.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316897942,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,26,4,dimgray,circle,sounds/D.wav,,,,,1,1,0,0,1,no,,1,0,,0,Studerende,1555316900540,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,27,4,blue,circle,sounds/D.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316903117,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,28,4,darkorange,circle,sounds/E.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316905698,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,29,4,green,circle,sounds/V.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316908269,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,30,4,red,circle,sounds/D.wav,,,,,1,0,0,0,0,no,,1,1,,1,Studerende,1555316910847,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,31,4,red,circle,sounds/E.wav,,,,,1,0,0,0,1,no,,1,0,,1,Studerende,1555316913422,0,0
rensdyr,female,22,training_train,practice,sc2,2,2,32,4,red,circle,sounds/C.wav,,,,,1,1,0,0,1,no,,1,0,,1,Studerende,1555316916002,1,0
rensdyr,female,22,training_train,practice,pcfs1,4,1,1,0,dimgray,square,sounds/B.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555316939931,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,2,8,dimgray,square,sounds/E.wav,1,0,0,0,1,1,0,1,1,no,0,1,0,1,1,Studerende,1555316943539,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,3,8,yellow,star,sounds/E.wav,1,0,1,1,1,0,1,1,0,no,1,1,0,0,1,Studerende,1555316947149,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,4,5,blue,star,sounds/V.wav,1,1,0,1,1,0,0,1,1,no,0,1,0,1,1,Studerende,1555316950763,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,5,5,darkorange,circle,sounds/B.wav,0,0,0,1,1,0,0,1,1,no,1,1,0,0,1,Studerende,1555316954371,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,6,1,dimgray,triangle,sounds/E.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555316957976,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,7,1,red,square,sounds/V.wav,1,0,1,1,1,0,0,1,1,no,1,1,0,0,1,Studerende,1555316961572,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,8,2,white,triangle,sounds/G.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555316965163,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,9,4,white,circle,sounds/C.wav,1,0,0,1,1,1,0,1,1,no,0,1,0,0,1,Studerende,1555316968788,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,10,4,blue,star,sounds/T.wav,1,0,1,1,1,0,0,1,1,no,1,1,0,0,1,Studerende,1555316972399,0,1
